Geonames Feature Code,Geonames Label,Wikidata URI,Wikidata label,AAT ID,AAT label,description,Geonames Feature Class,Wikipedia Code
RESA,agricultural reserve,,,,,a tract of land reserved for agricultural reclamation and/or development,L,L.RESA
RESF,forest reserve,http://www.wikidata.org/entity/Q7315273,forest reserve,http://vocab.getty.edu/aat/300008865,forest reserves,a forested area set aside for preservation or controlled use,L,L.RESF
RESH,hunting reserve,http://www.wikidata.org/entity/Q1714375,game reserve,,,a tract of land used primarily for hunting,L,L.RESH
RESN,nature reserve,http://www.wikidata.org/entity/Q179049,nature reserve,http://vocab.getty.edu/aat/300008178,nature reserves,an area reserved for the maintenance of a natural habitat,L,L.RESN
RESP,palm tree reserve,,,,,an area of palm trees where use is controlled,L,L.RESP
RESV,reservation,http://www.wikidata.org/entity/Q20203616,reservation,,,"a tract of land set aside for aboriginal, tribal, or native populations",L,L.RESV
RESW,wildlife reserve,http://www.wikidata.org/entity/Q46169,wildlife reserve,http://vocab.getty.edu/aat/300008189,national parks,a tract of public land reserved for the preservation of wildlife,L,L.RESW
RGN,region,http://www.wikidata.org/entity/Q82794,geographic region,http://vocab.getty.edu/aat/300182722,regions (geographic),an area distinguished by one or more observable physical or cultural characteristics,L,L.RGN
RGNE,economic region,http://www.wikidata.org/entity/Q1973901,economic region,,,a region of a country established for economic development or for statistical purposes,L,L.RGNE
RGNH,historical region,http://www.wikidata.org/entity/Q1620908,historical region,http://vocab.getty.edu/aat/300387178,historical regions,a former historic area distinguished by one or more observable physical or cultural characteristics,L,L.RGNH
RGNL,lake region,http://www.wikidata.org/entity/Q1742059,lake area,,,a tract of land distinguished by numerous lakes,L,L.RGNL
RNGA,artillery range,http://www.wikidata.org/entity/Q61977851,artillery range,,,a tract of land used for artillery firing practice,L,L.RNGA
SALT,salt area,http://www.wikidata.org/entity/Q55392224,salt area,http://vocab.getty.edu/aat/300386871,salt areas,a shallow basin or flat where salt accumulates after periodic inundation,L,L.SALT
SNOW,snowfield,http://www.wikidata.org/entity/Q1365419,snow field,,,an area of permanent snow and ice forming the accumulation area of a glacier,L,L.SNOW
TRB,tribal area,http://www.wikidata.org/entity/Q55463514,tribal area,http://vocab.getty.edu/aat/300387323,tribal areas,a tract of land used by nomadic or other tribes,L,L.TRB
PPL,populated place,http://www.wikidata.org/entity/Q486972,human settlement,http://vocab.getty.edu/aat/300008347,inhabited places,"a city, town, village, or other agglomeration of buildings where people live and work",P,P.PPL
PPLA,seat of a first-order administrative division,,,,,seat of a first-order administrative division (PPLC takes precedence over PPLA),P,P.PPLA
PPLA2,seat of a second-order administrative division,,,,,,P,P.PPLA2
PPLA3,seat of a third-order administrative division,,,,,,P,P.PPLA3
PPLA4,seat of a fourth-order administrative division,,,,,,P,P.PPLA4
PPLA5,seat of a fifth-order administrative division,,,,,,P,P.PPLA5
PPLC,capital of a political entity,http://www.wikidata.org/entity/Q5119,capital,,,,P,P.PPLC
PPLCH,historical capital of a political entity,,,,,a former capital of a political entity,P,P.PPLCH
PPLF,farm village,,,,,a populated place where the population is largely engaged in agricultural activities,P,P.PPLF
PPLG,seat of government of a political entity,,,,,,P,P.PPLG
PPLH,historical populated place,http://www.wikidata.org/entity/Q22674925,historic village,,,a populated place that no longer exists,P,P.PPLH
PPLL,populated locality,http://www.wikidata.org/entity/Q3257686,locality,http://vocab.getty.edu/aat/300387200,locales (settlements),an area similar to a locality but with a small group of dwellings or other buildings,P,P.PPLL
PPLQ,abandoned populated place,http://www.wikidata.org/entity/Q74047,ghost town,http://vocab.getty.edu/aat/300008547,ghost towns,,P,P.PPLQ
PPLR,religious populated place,,,,,a populated place whose population is largely engaged in religious occupations,P,P.PPLR
PPLS,populated places,http://www.wikidata.org/entity/Q25964111,group of settlements,,,"cities, towns, villages, or other agglomerations of buildings where people live and work",P,P.PPLS
PPLW,destroyed populated place,http://www.wikidata.org/entity/Q22674930,destroyed settlement,,,"a village, town or city destroyed by a natural disaster, or by war",P,P.PPLW
PPLX,section of populated place,http://www.wikidata.org/entity/Q123705,suburb,http://vocab.getty.edu/aat/300000745,neighborhoods,,P,P.PPLX
STLMT,israeli settlement,http://www.wikidata.org/entity/Q582706,Israeli settlement,,,,P,P.STLMT
CSWY,causeway,http://www.wikidata.org/entity/Q892168,causeway,,,a raised roadway across wet ground or shallow water,R,R.CSWY
OILP,oil pipeline,http://www.wikidata.org/entity/Q1262090,oil pipeline,http://vocab.getty.edu/aat/300387351,oil pipelines,a pipeline used for transporting oil,R,R.OILP
PRMN,promenade,http://www.wikidata.org/entity/Q88372,esplanade,,,"a place for public walking, usually along a beach front",R,R.PRMN
PTGE,portage,http://www.wikidata.org/entity/Q1522907,portage,http://vocab.getty.edu/aat/300386981,portages (routes),"a place where boats, goods, etc., are carried overland between navigable waters",R,R.PTGE
RD,road,http://www.wikidata.org/entity/Q34442,road,,,"an open way with improved surface for transportation of animals, people and vehicles",R,R.RD
RDA,ancient road,http://www.wikidata.org/entity/Q445741,historic road,,,the remains of a road used by ancient cultures,R,R.RDA
RDB,road bend,http://www.wikidata.org/entity/Q18390604,road curve,,,a conspicuously curved or bent section of a road,R,R.RDB
RDCUT,road cut,http://www.wikidata.org/entity/Q1308978,cut,,,an excavation cut through a hill or ridge for a road,R,R.RDCUT
RDJCT,road junction,http://www.wikidata.org/entity/Q1788454,road junction,,,a place where two or more roads join,R,R.RDJCT
RJCT,railroad junction,http://www.wikidata.org/entity/Q836550,Railroad junction,,,a place where two or more railroad tracks join,R,R.RJCT
RR,railroad,http://www.wikidata.org/entity/Q22667,railway,,,a permanent twin steel-rail track on which freight and passenger cars move long distances,R,R.RR
RRQ,abandoned railroad,http://www.wikidata.org/entity/Q357685,abandoned railway,,,,R,R.RRQ
RTE,caravan route,http://www.wikidata.org/entity/Q405155,trade route,http://vocab.getty.edu/aat/300265366,trade routes,the route taken by caravans,R,R.RTE
RYD,railroad yard,http://www.wikidata.org/entity/Q19563580,rail yard,http://vocab.getty.edu/aat/300000690,railroad yards,"a system of tracks used for the making up of trains, and switching and storing freight cars",R,R.RYD
ST,street,http://www.wikidata.org/entity/Q79007,street,http://vocab.getty.edu/aat/300008247,streets,a paved urban thoroughfare,R,R.ST
STKR,stock route,http://www.wikidata.org/entity/Q7617917,stock route,,,a route taken by livestock herds,R,R.STKR
TNL,tunnel,http://www.wikidata.org/entity/Q44377,tunnel,,,a subterranean passageway for transportation,R,R.TNL
TNLN,natural tunnel,,,,,a cave that is open at both ends,R,R.TNLN
TNLRD,road tunnel,http://www.wikidata.org/entity/Q2354973,road tunnel,,,a tunnel through which a road passes,R,R.TNLRD
TNLRR,railroad tunnel,http://www.wikidata.org/entity/Q1311958,railway tunnel,,,a tunnel through which a railroad passes,R,R.TNLRR
TNLS,tunnels,,,,,subterranean passageways for transportation,R,R.TNLS
TRL,trail,http://www.wikidata.org/entity/Q628179,trail,,,"a path, track, or route used by pedestrians, animals, or off-road vehicles",R,R.TRL
ADMF,administrative facility,,,,,a government building,S,S.ADMF
AGRF,agricultural facility,,,,,a building and/or tract of land used for improving agriculture,S,S.AGRF
AIRB,airbase,http://www.wikidata.org/entity/Q695850,airbase,http://vocab.getty.edu/aat/300000456,air bases,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated",S,S.AIRB
AIRF,airfield,http://www.wikidata.org/entity/Q62447,aerodrome,http://vocab.getty.edu/aat/300000679,airfields,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo,S,S.AIRF
AIRH,heliport,http://www.wikidata.org/entity/Q502074,heliport,http://vocab.getty.edu/aat/300000686,heliports (airports),a place where helicopters land and take off,S,S.AIRH
AIRP,airport,http://www.wikidata.org/entity/Q1248784,airport,http://vocab.getty.edu/aat/300000681,airports,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo",S,S.AIRP
AIRQ,abandoned airfield,http://www.wikidata.org/entity/Q7171590,abandoned airport,,,,S,S.AIRQ
AIRT,terminal,,,,,airport facilities for the handling of freight and passengers,S,S.AIRT
AMTH,amphitheater,http://www.wikidata.org/entity/Q54831,amphitheatre,http://vocab.getty.edu/aat/300007128,amphitheaters (built works),an oval or circular structure with rising tiers of seats about a stage or open space,S,S.AMTH
ANS,archaeological/prehistoric site,http://www.wikidata.org/entity/Q839954,archaeological site,http://vocab.getty.edu/aat/300000810,archaeological sites,"a place where archeological remains, old structures, or cultural artifacts are located",S,S.ANS
AQC,aquaculture facility,http://www.wikidata.org/entity/Q188989,aquaculture,,,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture",S,S.AQC
ARCH,arch,http://www.wikidata.org/entity/Q12277,arch,http://vocab.getty.edu/aat/300000994,arches,a natural or man-made structure in the form of an arch,S,S.ARCH
ARCHV,archive,http://www.wikidata.org/entity/Q166118,archive,http://vocab.getty.edu/aat/300312242,archives (institutions),a place or institution where documents are preserved,S,S.ARCHV
ART,piece of art,,,,,"a piece of art, like a sculpture, painting. In contrast to monument (MNMT) it is not commemorative.",S,S.ART
ASTR,astronomical station,,,,,a point on the earth whose position has been determined by observations of celestial bodies,S,S.ASTR
ASYL,asylum,http://www.wikidata.org/entity/Q210999,psychiatric hospital,http://vocab.getty.edu/aat/300006733,psychiatric hospitals,a facility where the insane are cared for and protected,S,S.ASYL
ATHF,athletic field,http://www.wikidata.org/entity/Q1076486,sports venue,http://vocab.getty.edu/aat/300007250,sports buildings,"a tract of land used for playing team sports, and athletic track and field events",S,S.ATHF
ATM,automatic teller machine,http://www.wikidata.org/entity/Q81235,automated teller machine,http://vocab.getty.edu/aat/300228482,automated teller machines,"An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services. ",S,S.ATM
BANK,bank,http://www.wikidata.org/entity/Q22687,bank,,,"A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged. ",S,S.BANK
BCN,beacon,http://www.wikidata.org/entity/Q17484395,beacon,,,a fixed artificial navigation mark,S,S.BCN
BDG,bridge,http://www.wikidata.org/entity/Q12280,bridge,http://vocab.getty.edu/aat/300007836,bridges (built works),"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across",S,S.BDG
BDGQ,ruined bridge,,,,,a destroyed or decayed bridge which is no longer functional,S,S.BDGQ
BLDA,apartment building,,,,,a building containing several individual apartments,S,S.BLDA
BLDG,building(s),http://www.wikidata.org/entity/Q41176,building,http://vocab.getty.edu/aat/300004792,buildings (structures),"a structure built for permanent use, as a house, factory, etc.",S,S.BLDG
BLDO,office building,http://www.wikidata.org/entity/Q1021645,office building,http://vocab.getty.edu/aat/300007043,office buildings,commercial building where business and/or services are conducted,S,S.BLDO
BP,boundary marker,http://www.wikidata.org/entity/Q921099,boundary marker,,,a fixture marking a point along a boundary,S,S.BP
BRKS,barracks,http://www.wikidata.org/entity/Q131263,barracks,http://vocab.getty.edu/aat/300005665,barracks,a building for lodging military personnel,S,S.BRKS
BRKW,breakwater,http://www.wikidata.org/entity/Q153084,groyne,,,a structure erected to break the force of waves at the entrance to a harbor or port,S,S.BRKW
BSTN,baling station,,,,,a facility for baling agricultural products,S,S.BSTN
BTYD,boatyard,http://www.wikidata.org/entity/Q190928,shipyard,http://vocab.getty.edu/aat/300000403,shipyards,"a waterside facility for servicing, repairing, and building small vessels",S,S.BTYD
BUR,burial cave(s),,,,,a cave used for human burials,S,S.BUR
BUSTN,bus station,http://www.wikidata.org/entity/Q494829,bus station,http://vocab.getty.edu/aat/300007805,bus stations,"a facility comprising ticket office, platforms, etc. for loading and unloading passengers ",S,S.BUSTN
BUSTP,bus stop,http://www.wikidata.org/entity/Q953806,bus stop,http://vocab.getty.edu/aat/300003837,bus stops,a place lacking station facilities,S,S.BUSTP
CARN,cairn,http://www.wikidata.org/entity/Q7321974,cairn,http://vocab.getty.edu/aat/300006960,cairns,a heap of stones erected as a landmark or for other purposes,S,S.CARN
CAVE,cave(s),http://www.wikidata.org/entity/Q35509,cave,http://vocab.getty.edu/aat/300008746,caves,"an underground passageway or chamber, or cavity on the side of a cliff",S,S.CAVE
CH,church,http://www.wikidata.org/entity/Q16970,church building,http://vocab.getty.edu/aat/300007466,churches (buildings),a building for public Christian worship,S,S.CH
CMP,camp(s),,,,,"a site occupied by tents, huts, or other shelters for temporary use",S,S.CMP
CMPL,logging camp,,,,,a camp used by loggers,S,S.CMPL
CMPLA,labor camp,http://www.wikidata.org/entity/Q628505,labor camp,,,a camp used by migrant or temporary laborers,S,S.CMPLA
CMPMN,mining camp,http://www.wikidata.org/entity/Q820254,mining community,http://vocab.getty.edu/aat/300008464,mining towns,a camp used by miners,S,S.CMPMN
CMPO,oil camp,,,,,a camp used by oilfield workers,S,S.CMPO
CMPQ,abandoned camp,,,,,,S,S.CMPQ
CMPRF,refugee camp,http://www.wikidata.org/entity/Q622499,refugee camp,,,a camp used by refugees,S,S.CMPRF
CMTY,cemetery,http://www.wikidata.org/entity/Q39614,cemetery,http://vocab.getty.edu/aat/300266755,cemeteries,a burial place or ground,S,S.CMTY
COMC,communication center,http://www.wikidata.org/entity/Q5154193,communications center,,,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information",S,S.COMC
CRRL,corral(s),http://www.wikidata.org/entity/Q858177,pen,http://vocab.getty.edu/aat/300004983,corrals (animal housing),a pen or enclosure for confining or capturing animals,S,S.CRRL
CSNO,casino,http://www.wikidata.org/entity/Q133215,casino,http://vocab.getty.edu/aat/300007227,casinos,"a building used for entertainment, especially gambling",S,S.CSNO
CSTL,castle,http://www.wikidata.org/entity/Q23413,château,http://vocab.getty.edu/aat/300006891,castles (fortifications),a large fortified building or set of buildings,S,S.CSTL
CSTM,customs house,http://www.wikidata.org/entity/Q218653,custom house,,,"a building in a port where customs and duties are paid, and where vessels are entered and cleared",S,S.CSTM
CTHSE,courthouse,http://www.wikidata.org/entity/Q1137809,courthouse,http://vocab.getty.edu/aat/300005969,courthouses,a building in which courts of law are held,S,S.CTHSE
CTRA,atomic center,,,,,a facility where atomic research is carried out,S,S.CTRA
CTRCM,community center,http://www.wikidata.org/entity/Q77115,community center,http://vocab.getty.edu/aat/300005120,community centers,a facility for community recreation and other activities,S,S.CTRCM
CTRF,facility center,,,,,a place where more than one facility is situated,S,S.CTRF
CTRM,medical center,http://www.wikidata.org/entity/Q4260475,medical facility,http://vocab.getty.edu/aat/300006653,health facilities,"a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc.",S,S.CTRM
CTRR,religious center,,,,,"a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship",S,S.CTRR
CTRS,space center,http://www.wikidata.org/entity/Q1192221,space center,,,"a facility for launching, tracking, or controlling satellites and space vehicles",S,S.CTRS
CVNT,convent,http://www.wikidata.org/entity/Q1128397,convent,http://vocab.getty.edu/aat/300312089,convents (groups),a building where a community of nuns lives in seclusion,S,S.CVNT
DAM,dam,http://www.wikidata.org/entity/Q12323,dam,http://vocab.getty.edu/aat/300006084,dams (hydraulic structures),a barrier constructed across a stream to impound water,S,S.DAM
DAMQ,ruined dam,,,,,a destroyed or decayed dam which is no longer functional,S,S.DAMQ
DAMSB,sub-surface dam,,,,,a dam put down to bedrock in a sand river,S,S.DAMSB
DARY,dairy,http://www.wikidata.org/entity/Q637776,dairy,http://vocab.getty.edu/aat/300083012,dairies (non-mechanized),"a facility for the processing, sale and distribution of milk or milk products",S,S.DARY
DCKD,dry dock,http://www.wikidata.org/entity/Q811177,dry dock,http://vocab.getty.edu/aat/300120748,dry docks,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed",S,S.DCKD
DCKY,dockyard,http://www.wikidata.org/entity/Q190928,shipyard,http://vocab.getty.edu/aat/300000403,shipyards,"a facility for servicing, building, or repairing ships",S,S.DCKY
DIKE,dike,http://www.wikidata.org/entity/Q105190,levee,http://vocab.getty.edu/aat/300006156,levees,an earth or stone embankment usually constructed for flood or stream control,S,S.DIKE
DIP,diplomatic facility,,,,,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d'affaires, or other diplomatic, economic, military, or cultural mission",S,S.DIP
DPOF,fuel depot,http://www.wikidata.org/entity/Q57208328,fuel depot,,,an area where fuel is stored,S,S.DPOF
EST,estate(s),http://www.wikidata.org/entity/Q12292478,estate,,,a large commercialized agricultural landholding with associated buildings and other facilities,S,S.EST
ESTO,oil palm plantation,,,,,an estate specializing in the cultivation of oil palm trees,S,S.ESTO
ESTR,rubber plantation,,,,,an estate which specializes in growing and tapping rubber trees,S,S.ESTR
ESTSG,sugar plantation,http://www.wikidata.org/entity/Q14419427,sugarcane plantation,,,an estate that specializes in growing sugar cane,S,S.ESTSG
ESTT,tea plantation,,,,,an estate which specializes in growing tea bushes,S,S.ESTT
ESTX,section of estate,,,,,,S,S.ESTX
FCL,facility,http://www.wikidata.org/entity/Q13226383,facility,,,"a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc.",S,S.FCL
FNDY,foundry,http://www.wikidata.org/entity/Q13883136,foundry,http://vocab.getty.edu/aat/300266773,foundries,a building or works where metal casting is carried out,S,S.FNDY
FRM,farm,http://www.wikidata.org/entity/Q131596,farm,http://vocab.getty.edu/aat/300000206,farms,a tract of land with associated buildings devoted to agriculture,S,S.FRM
FRMQ,abandoned farm,http://www.wikidata.org/entity/Q16423630,abandoned farm,http://vocab.getty.edu/aat/300008633,abandoned farms,,S,S.FRMQ
FRMS,farms,http://www.wikidata.org/entity/Q131596,farm,http://vocab.getty.edu/aat/300000206,farms,tracts of land with associated buildings devoted to agriculture,S,S.FRMS
FRMT,farmstead,http://www.wikidata.org/entity/Q131596,farm,http://vocab.getty.edu/aat/300000206,farms,the buildings and adjacent service areas of a farm,S,S.FRMT
FT,fort,http://www.wikidata.org/entity/Q57821,fortification,,,a defensive structure or earthworks,S,S.FT
FY,ferry,http://www.wikidata.org/entity/Q25653,ferry,http://vocab.getty.edu/aat/300178870,ferries (vessels),a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody,S,S.FY
FYT,ferry terminal,http://www.wikidata.org/entity/Q4303352,passenger ship terminal,,,"a place where ferries pick-up and discharge passengers, vehicles and or cargo",S,S.FYT
GATE,gate,http://www.wikidata.org/entity/Q53060,gate,http://vocab.getty.edu/aat/300002916,gates,a controlled access entrance or exit,S,S.GATE
GDN,garden(s),http://www.wikidata.org/entity/Q1107656,garden,http://vocab.getty.edu/aat/300008090,gardens (open spaces),an enclosure for displaying selected plant or animal life,S,S.GDN
GHAT,ghat,http://www.wikidata.org/entity/Q1010155,ghat,http://vocab.getty.edu/aat/300005904,ghats,"a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing",S,S.GHAT
GHSE,guest house,http://www.wikidata.org/entity/Q2460422,guest house,http://vocab.getty.edu/aat/300005626,guesthouses (dwellings),a house used to provide lodging for paying guests,S,S.GHSE
GOSP,gas-oil separator plant,http://www.wikidata.org/entity/Q3011536,separator,,,a facility for separating gas from oil,S,S.GOSP
GOVL,local government office,,,,,"a facility housing local governmental offices, usually a city, town, or village hall",S,S.GOVL
GRVE,grave,http://www.wikidata.org/entity/Q173387,grave,http://vocab.getty.edu/aat/300005907,graves,a burial site,S,S.GRVE
HERM,hermitage,http://www.wikidata.org/entity/Q513550,hermitage,http://vocab.getty.edu/aat/300000640,hermitages (religious communities),"a secluded residence, usually for religious sects",S,S.HERM
HLT,halting place,,,,,a place where caravans stop for rest,S,S.HLT
HMSD,homestead,,,,,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand ",S,S.HMSD
HSE,house(s),,,,,a building used as a human habitation,S,S.HSE
HSEC,country house,http://www.wikidata.org/entity/Q16884952,country house,http://vocab.getty.edu/aat/300005567,country houses,"a large house, mansion, or chateau, on a large estate",S,S.HSEC
HSP,hospital,http://www.wikidata.org/entity/Q16917,hospital,http://vocab.getty.edu/aat/300006676,hospitals (buildings for health facility),"a building in which sick or injured, especially those confined to bed, are medically treated",S,S.HSP
HSPC,clinic,,,,,a medical facility associated with a hospital for outpatients,S,S.HSPC
HSPD,dispensary,http://www.wikidata.org/entity/Q688829,dispensary,http://vocab.getty.edu/aat/300006667,dispensaries (health facilities),a building where medical or dental aid is dispensed,S,S.HSPD
HSPL,leprosarium,http://www.wikidata.org/entity/Q1406569,leper colony,http://vocab.getty.edu/aat/300008507,leprosaria,an asylum or hospital for lepers,S,S.HSPL
HSTS,historical site,,,,,a place of historical importance,S,S.HSTS
HTL,hotel,http://www.wikidata.org/entity/Q27686,hotel,http://vocab.getty.edu/aat/300007166,hotels (public accommodations),a building providing lodging and/or meals for the public,S,S.HTL
HUT,hut,http://www.wikidata.org/entity/Q5784097,hut,http://vocab.getty.edu/aat/300004824,huts (houses),a small primitive house,S,S.HUT
HUTS,huts,,,,,small primitive houses,S,S.HUTS
INSM,military installation,http://www.wikidata.org/entity/Q245016,military base,http://vocab.getty.edu/aat/300000455,military bases,a facility for use of and control by armed forces,S,S.INSM
ITTR,research institute,http://www.wikidata.org/entity/Q31855,research institute,,,a facility where research is carried out,S,S.ITTR
JTY,jetty,http://www.wikidata.org/entity/Q3082251,jetty,http://vocab.getty.edu/aat/300006155,jetties (erosion protection works),a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting,S,S.JTY
LDNG,landing,http://www.wikidata.org/entity/Q16938673,landing,,,"a place where boats receive or discharge passengers and freight, but lacking most port facilities",S,S.LDNG
LEPC,leper colony,http://www.wikidata.org/entity/Q1406569,leper colony,http://vocab.getty.edu/aat/300008507,leprosaria,a settled area inhabited by lepers in relative isolation,S,S.LEPC
LIBR,library,http://www.wikidata.org/entity/Q7075,library,http://vocab.getty.edu/aat/300343389,public libraries (institutions),"A place in which information resources such as books are kept for reading, reference, or lending.",S,S.LIBR
LNDF,landfill,http://www.wikidata.org/entity/Q152810,landfill,http://vocab.getty.edu/aat/300000830,landfills,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land,S,S.LNDF
LOCK,lock(s),http://www.wikidata.org/entity/Q105731,lock,http://vocab.getty.edu/aat/300235059,locks (hydraulic structures),a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another,S,S.LOCK
LTHSE,lighthouse,http://www.wikidata.org/entity/Q39715,lighthouse,http://vocab.getty.edu/aat/300007741,lighthouses,a distinctive structure exhibiting a major navigation light,S,S.LTHSE
MALL,mall,http://www.wikidata.org/entity/Q11315,shopping mall,http://vocab.getty.edu/aat/300005261,shopping arcades,"A large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways.",S,S.MALL
MAR,marina,http://www.wikidata.org/entity/Q721207,marina,http://vocab.getty.edu/aat/300120824,marinas (water transportation complexes),"a harbor facility for small boats, yachts, etc.",S,S.MAR
MFG,factory,http://www.wikidata.org/entity/Q83405,factory,http://vocab.getty.edu/aat/300006232,factories (structures),"one or more buildings where goods are manufactured, processed or fabricated",S,S.MFG
MFGB,brewery,http://www.wikidata.org/entity/Q131734,brewery,,,one or more buildings where beer is brewed,S,S.MFGB
MFGC,cannery,http://www.wikidata.org/entity/Q1922209,cannery,,,a building where food items are canned,S,S.MFGC
MFGCU,copper works,,,,,a facility for processing copper ore,S,S.MFGCU
MFGLM,limekiln,http://www.wikidata.org/entity/Q59772,lime kiln,http://vocab.getty.edu/aat/300006404,lime kilns,a furnace in which limestone is reduced to lime,S,S.MFGLM
MFGM,munitions plant,http://www.wikidata.org/entity/Q2940673,munitions plant,,,a factory where ammunition is made,S,S.MFGM
MFGPH,phosphate works,,,,,a facility for producing fertilizer,S,S.MFGPH
MFGQ,abandoned factory,,,,,,S,S.MFGQ
MFGSG,sugar refinery,http://www.wikidata.org/entity/Q227857,sugar refinery,http://vocab.getty.edu/aat/300006358,sugar refineries,a facility for converting raw sugar into refined sugar,S,S.MFGSG
MKT,market,http://www.wikidata.org/entity/Q330284,marketplace,,,a place where goods are bought and sold at regular intervals,S,S.MKT
ML,mill(s),,,,,"a building housing machines for transforming, shaping, finishing, grinding, or extracting products",S,S.ML
MLM,ore treatment plant,,,,,a facility for improving the metal content of ore by concentration,S,S.MLM
MLO,olive oil mill,http://www.wikidata.org/entity/Q61978174,olive oil mill,,,a mill where oil is extracted from olives,S,S.MLO
MLSG,sugar mill,http://www.wikidata.org/entity/Q1820305,sugarcane mill,,,a facility where sugar cane is processed into raw sugar,S,S.MLSG
MLSGQ,former sugar mill,,,,,a sugar mill no longer used as a sugar mill,S,S.MLSGQ
MLSW,sawmill,http://www.wikidata.org/entity/Q505213,sawmill,http://vocab.getty.edu/aat/300006306,sawmills (factories),a mill where logs or lumber are sawn to specified shapes and sizes,S,S.MLSW
MLWND,windmill,http://www.wikidata.org/entity/Q38720,windmill,http://vocab.getty.edu/aat/300006273,windmills,a mill or water pump powered by wind,S,S.MLWND
MLWTR,water mill,http://www.wikidata.org/entity/Q185187,watermill,http://vocab.getty.edu/aat/300006270,water mills,a mill powered by running water,S,S.MLWTR
MN,mine(s),http://www.wikidata.org/entity/Q820477,mine,http://vocab.getty.edu/aat/300000390,mines (extracting complexes),a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages,S,S.MN
MNAU,gold mine(s),http://www.wikidata.org/entity/Q16659538,gold mine,http://vocab.getty.edu/aat/300132656,gold mines,"a mine where gold ore, or alluvial gold is extracted",S,S.MNAU
MNC,coal mine(s),http://www.wikidata.org/entity/Q959309,coal mine,http://vocab.getty.edu/aat/300000396,coal mines,a mine where coal is extracted,S,S.MNC
MNCR,chrome mine(s),http://www.wikidata.org/entity/Q55711069,chromium mine,,,a mine where chrome ore is extracted,S,S.MNCR
MNCU,copper mine(s),http://www.wikidata.org/entity/Q10564300,copper mine,http://vocab.getty.edu/aat/300000398,copper mines,a mine where copper ore is extracted,S,S.MNCU
MNFE,iron mine(s),http://www.wikidata.org/entity/Q16659620,iron mine,http://vocab.getty.edu/aat/300000399,iron mines,a mine where iron ore is extracted,S,S.MNFE
MNMT,monument,http://www.wikidata.org/entity/Q4989906,monument,http://vocab.getty.edu/aat/300006958,monuments,a commemorative structure or statue,S,S.MNMT
MNN,salt mine(s),http://www.wikidata.org/entity/Q40551,salt mine,http://vocab.getty.edu/aat/300266385,salt mines,a mine from which salt is extracted,S,S.MNN
MNQ,abandoned mine,http://www.wikidata.org/entity/Q42412840,abandoned mine,,,,S,S.MNQ
MNQR,quarry(-ies),http://www.wikidata.org/entity/Q188040,quarry,http://vocab.getty.edu/aat/300000402,quarries (extracting complexes),"a surface mine where building stone or gravel and sand, etc. are extracted",S,S.MNQR
MOLE,mole,,,,,a massive structure of masonry or large stones serving as a pier or breakwater,S,S.MOLE
MSQE,mosque,http://www.wikidata.org/entity/Q32815,mosque,http://vocab.getty.edu/aat/300007544,mosques (buildings),a building for public Islamic worship,S,S.MSQE
MSSN,mission,http://www.wikidata.org/entity/Q1564373,mission complex,,,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion",S,S.MSSN
MSSNQ,abandoned mission,,,,,,S,S.MSSNQ
MSTY,monastery,http://www.wikidata.org/entity/Q44613,monastery,http://vocab.getty.edu/aat/300000650,charterhouses,a building and grounds where a community of monks lives in seclusion,S,S.MSTY
MTRO,metro station,http://www.wikidata.org/entity/Q928830,metro station,,,"metro station (Underground, Tube, or Metro) ",S,S.MTRO
MUS,museum,http://www.wikidata.org/entity/Q33506,museum,http://vocab.getty.edu/aat/300312281,museums (institutions),a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited,S,S.MUS
